X,Y,Z
# Scan parameters: Height: 100cm, Layer height: 0.50cm
# Data points below:
-5.866,1.580,0.000
-5.923,1.570,0.000
-6.363,1.660,0.000
-5.901,1.515,0.000
-6.399,1.616,0.000
-5.913,1.469,0.000
-6.241,1.524,0.000
-5.933,1.424,0.000
-5.930,1.399,0.000
-5.909,1.370,0.000
-5.932,1.350,0.000
-5.937,1.327,0.000
-5.907,1.296,0.000
-5.947,1.280,0.000
-5.952,1.257,0.000
-5.948,1.232,0.000
-5.962,1.210,0.000
-5.975,1.189,0.000
-5.989,1.167,0.000
-5.976,1.140,0.000
-5.980,1.116,0.000
-5.967,1.090,0.000
-5.989,1.069,0.000
-5.984,1.044,0.000
-6.014,1.025,0.000
-6.001,0.999,0.000
-5.996,0.974,0.000
-6.511,1.031,0.000
-6.012,0.928,0.000
-6.488,0.975,0.000
-6.028,0.882,0.000
-6.511,0.927,0.000
-6.044,0.836,0.000
-6.021,0.809,0.000
-6.059,0.790,0.000
-6.036,0.762,0.000
-6.056,0.741,0.000
-6.041,0.715,0.000
-6.044,0.691,0.000
-6.038,0.667,0.000
-6.049,0.644,0.000
-6.043,0.619,0.000
-6.054,0.596,0.000
-6.057,0.573,0.000
-6.059,0.549,0.000
-6.061,0.525,0.000
-6.063,0.501,0.000
-6.065,0.477,0.000
-6.067,0.453,0.000
-6.068,0.430,0.000
-6.096,0.408,0.000
-6.054,0.381,0.000
-6.029,0.356,0.000
-6.574,0.362,0.000
-6.076,0.310,0.000
-6.068,0.286,0.000
-6.078,0.263,0.000
-6.079,0.239,0.000
-6.089,0.215,0.000
-6.565,0.206,0.000
-6.081,0.167,0.000
-6.073,0.143,0.000
-6.091,0.120,0.000
-6.568,0.103,0.000
-6.083,0.072,0.000
-6.119,0.048,0.000
-6.039,0.024,0.000
-6.110,-0.000,0.000
-6.075,-0.024,0.000
-6.083,-0.048,0.000
-6.083,-0.072,0.000
-6.083,-0.096,0.000
-6.074,-0.119,0.000
-6.091,-0.144,0.000
-6.099,-0.168,0.000
-6.116,-0.192,0.000
-6.580,-0.233,0.000
-6.088,-0.239,0.000
-6.570,-0.284,0.000
-6.094,-0.287,0.000
-6.528,-0.334,0.000
-6.101,-0.336,0.000
-6.073,-0.358,0.000
-6.563,-0.413,0.000
-6.043,-0.404,0.000
-6.086,-0.431,0.000
-6.093,-0.455,0.000
-6.056,-0.477,0.000
-6.072,-0.502,0.000
-6.061,-0.525,0.000
-6.059,-0.549,0.000
-6.048,-0.572,0.000
-6.063,-0.597,0.000
-6.061,-0.621,0.000
-6.049,-0.644,0.000
-6.073,-0.670,0.000
-6.044,-0.691,0.000
-6.041,-0.715,0.000
-6.039,-0.739,0.000
-6.009,-0.759,0.000
-5.953,-0.776,0.000
-5.941,-0.798,0.000
-5.964,-0.825,0.000
-5.943,-0.846,0.000
-5.904,-0.864,0.000
-5.945,-0.894,0.000
-5.942,-0.917,0.000
-5.929,-0.939,0.000
-5.925,-0.962,0.000
